amount,balance,cancelYn,date,storeId,transactionId
39508,779,Y,2021-01-01,5460431,cc07167a-c20-4589-9548-000000000000
60339,545,Y,2021-02-02,2033931,cc17167a-c21-4589-9548-000000000001
52131,851,Y,2021-03-03,595361,cc27167a-c22-4589-9548-000000000002
45353,725,Y,2021-04-04,5603431,cc37167a-c23-4589-9548-000000000003
25943,494,Y,2021-05-05,6717131,cc47167a-c24-4589-9548-000000000004
94621,280,N,2021-06-06,5460431,cc57167a-c25-4589-9548-000000000005
88129,134,N,2021-07-07,2033931,cc67167a-c26-4589-9548-000000000006
24122,474,N,2021-08-08,595361,cc77167a-c27-4589-9548-000000000007
72422,11,N,2021-09-09,5603431,cc87167a-c28-4589-9548-000000000008
72375,421,N,2021-10-10,6717131,cc97167a-c29-4589-9548-000000000009
81608,709,Y,2021-11-11,5460431,cc07167a-c20-4589-9548-000000000010
74164,325,Y,2021-12-12,2033931,cc17167a-c21-4589-9548-000000000011
81248,208,N,2021-01-13,595361,cc27167a-c22-4589-9548-000000000012
32737,599,Y,2021-02-14,5603431,cc37167a-c23-4589-9548-000000000013
45760,881,N,2021-03-15,6717131,cc47167a-c24-4589-9548-000000000014
28930,196,Y,2021-04-16,5460431,cc57167a-c25-4589-9548-000000000015
71596,1,N,2021-05-17,2033931,cc67167a-c26-4589-9548-000000000016
26922,232,N,2021-06-18,595361,cc77167a-c27-4589-9548-000000000017
21601,53,N,2021-07-19,5603431,cc87167a-c28-4589-9548-000000000018
3957,560,N,2021-08-20,6717131,cc97167a-c29-4589-9548-000000000019
20787,937,Y,2021-09-21,5460431,cc07167a-c20-4589-9548-000000000020
68165,586,Y,2021-10-22,2033931,cc17167a-c21-4589-9548-000000000021
67468,489,Y,2021-11-23,595361,cc27167a-c22-4589-9548-000000000022
98134,332,N,2021-12-24,5603431,cc37167a-c23-4589-9548-000000000023
71276,289,N,2021-01-25,6717131,cc47167a-c24-4589-9548-000000000024
80572,968,N,2021-02-26,5460431,cc57167a-c25-4589-9548-000000000025
51662,690,Y,2021-03-27,2033931,cc67167a-c26-4589-9548-000000000026
77839,365,Y,2021-04-28,595361,cc77167a-c27-4589-9548-000000000027
54092,595,Y,2021-05-01,5603431,cc87167a-c28-4589-9548-000000000028
32371,251,N,2021-06-02,6717131,cc97167a-c29-4589-9548-000000000029
92502,638,Y,2021-07-03,5460431,cc07167a-c20-4589-9548-000000000030
32300,72,Y,2021-08-04,2033931,cc17167a-c21-4589-9548-000000000031
43327,242,N,2021-09-05,595361,cc27167a-c22-4589-9548-000000000032
23336,102,Y,2021-10-06,5603431,cc37167a-c23-4589-9548-000000000033
6901,957,N,2021-11-07,6717131,cc47167a-c24-4589-9548-000000000034
85214,653,N,2021-12-08,5460431,cc57167a-c25-4589-9548-000000000035
65749,171,N,2021-01-09,2033931,cc67167a-c26-4589-9548-000000000036
19936,578,N,2021-02-10,595361,cc77167a-c27-4589-9548-000000000037
71900,653,N,2021-03-11,5603431,cc87167a-c28-4589-9548-000000000038
95170,737,Y,2021-04-12,6717131,cc97167a-c29-4589-9548-000000000039
42200,723,Y,2021-05-13,5460431,cc07167a-c20-4589-9548-000000000040
11602,749,Y,2021-06-14,2033931,cc17167a-c21-4589-9548-000000000041
13863,39,N,2021-07-15,595361,cc27167a-c22-4589-9548-000000000042
2398,354,Y,2021-08-16,5603431,cc37167a-c23-4589-9548-000000000043
27637,798,Y,2021-09-17,6717131,cc47167a-c24-4589-9548-000000000044
69226,858,Y,2021-10-18,5460431,cc57167a-c25-4589-9548-000000000045
74226,813,N,2021-11-19,2033931,cc67167a-c26-4589-9548-000000000046
45661,398,Y,2021-12-20,595361,cc77167a-c27-4589-9548-000000000047
51913,651,Y,2021-01-21,5603431,cc87167a-c28-4589-9548-000000000048
68814,566,N,2021-02-22,6717131,cc97167a-c29-4589-9548-000000000049
90659,352,N,2021-03-23,5460431,cc07167a-c20-4589-9548-000000000050
24554,665,Y,2021-04-24,2033931,cc17167a-c21-4589-9548-000000000051
85997,703,Y,2021-05-25,595361,cc27167a-c22-4589-9548-000000000052
94289,538,Y,2021-06-26,5603431,cc37167a-c23-4589-9548-000000000053
24896,614,N,2021-07-27,6717131,cc47167a-c24-4589-9548-000000000054
19903,686,N,2021-08-28,5460431,cc57167a-c25-4589-9548-000000000055
75184,557,N,2021-09-01,2033931,cc67167a-c26-4589-9548-000000000056
